consuelo; alivio, descanso, calmante, lenitivo, alegría, gozo
consumir; gestar, extinguir, agotar, acabar
consunción; agotamiento, extenuación, debilitamiento
contactar; conectar, enlazar, relacionar, acercar
contemporáneo; actual, coexistente, sincrónico, simultáneo
contener; encerrar, poseer, comprender, involucrar
contienda; disputa, riña, pendencia, competición, pelea, lucha
contigüidad; cercanía, vecindad, adyacencia, proximidad
continencia; moderación, templanza, abstinencia, mesura
contingencia; eventualidad, perspectiva, circunstancia, accidente
continuo; incesante, perenne, constante, persistente, ininterrumpido
contorsión; contracción, retorcimiento, encogimiento, ademán
contracción; contorsión, convulsión, crispación, astricción, encogimiento, espasmo
contraer; adquirir, estrechar, encoger, constreñir
contraponer; oponer, enfrentar, encarar, afrontar, comparar, cotejar
contrariar; dificultar, entorpecer, fastidiar, molestar, disgustar
contrarrestar; afrontar, impedir, equilibrar, oponerse, compensar
contraseña; consigna, contramarca, señal, distintivo
contraste; oposición, diferencia, disparidad, desigualdad
contrición; pesar, dolor, arrepentimiento, remordimiento
contrincante; émulo, adversario contrario, antagonista, competidor
contrito; arrepentido, compungido, atribulado, sentido, pesaroso
control; vigilancia, inspección, examen, comprobación
controversia; polémica, discusión, debate, disputa, alegato
contusión; lesión, golpe, daño, magullamiento
convalidar; revalidar, ratificar, confirmar, corroborar
convencer; persuadir, catequizar, convertir, conquistar
convergencia; confluencia, coincidencia, concurrencia, unión
copiar; reproducir, transcribir, trasladar, fotocopiar
coraje; valor, arrojo, audacia, intrepidez, ira, cólera, rabia
coraza; armadura, blindaje, revestimiento, envoltura
cordial; afable, amable, cariñoso afectuoso, franco
corporal; somático, carnal, corpóreo, material
corpulento; corpudo, gordo, grande, sólido, voluminoso, grueso
corrección; enmienda, rectificación, cortesía, discreción, castigo
correlación; analogía, reciprocidad, similitud, afinidad, sucesión
corretaje; correduría, comisión, porcentaje, prima
corrido; ducho, fogueado, experimentado, avergonzado
corroboración; aseveración, confirmación, testificación, ratificación
corroer; desgastar, consumar, roer, minar
cortapisa; obstáculo, inconveniente restricción, limitación
costumbre; hábito, tradición, uso, rutina, práctica, usanza
coterráneo; paisano, vecino, coetáneo, compatricio
coyuntura; unión, articulación, circunstancia, oportunidad, ocasión
crédulo; cándido, ingenuo, confiado, inocente
crepúsculo; penumbra, amanecer, anochecer, ocaso
criar; crear, originar, producir, amamantar
crisis; desequilibrio, paroxismo, desencadenamiento, riesgo
crítico; censor, juez, evaluador, imparcial, analizador
crucial; decisivo, perentorio, concluyente, crítico
crudeza; severidad, rudeza, aspereza, crueldad, rigor, claridad
crueldad; crudeza, salvajismo, ferocidad, brutalidad, bestialidad
cuantía; cantidad, valor, precio, consideración
cuartel; acantonamiento, división, acuartelamiento, caserna
cuestión; materia, asunto, tema, suceso, discusión, debate, polémica
cuidado; atención, esmero, cautela, pulcritud
cuita; angustia, zozobra, aflicción, inquietud
culminación; cúspide, cresta, pináculo, cumbre, cima, máximo
cultivar; laborar, surcar, estudiar, practicar
cúmulo; multitud, muchedumbre, montón, acumulación
cundir; aumentar, crecer, extender propagarse, propagar
cupido; amor, eros, enamoradizo, faldero
cupo; porción, cuota, ajuste, totalidad
cúpula; bóveda, domo, cúspide, cimborrio
curia; cancillería, división, tribunal pontifical
curiosidad; indiscreción, inquietud esmero, impertinencia
cursar; seguir, estudiar, despachar tramitar
cursi; afectado, pedante, ridículo, chabacano, presuntuoso
cúspide; cumbre, cima, pináculo, cresta
custodiar; proteger, conservar, defender, vigilar
dádiva; obsequio, regalo, presente, agasajo
dama; señora, selecta, distinguida, sobresaliente
damnificar; perjudicar, dañar, arruinar, fallar
dañar; perjudicar, estropear, deteriorar, malear, pervertir, viciar
dar; ceder, entregar, proporcionar, producir
datar; fechar, registrar, principiar, notar
debatir; disputar, contender, altercar, discutir, controvertir, analizar
